Year;Country;Automation & Control Systems;Computer Science, Artificial Intelligence;Computer Science, Information Systems;Computer Science, Interdisciplinary Applications;Computer Science, Theory & Methods;Engineering, Electrical & Electronic;Engineering, Multidisciplinary;Environmental Sciences;Instruments & Instrumentation;Neurosciences;AI_publications
1980;Australia;17;2;17;20;17;90;33;59;61;193;1
1981;Australia;23;0;23;27;23;101;35;73;75;220;0
1982;Australia;17;2;17;24;20;92;30;78;62;215;0
1983;Australia;14;5;19;33;18;118;29;111;63;219;0
1984;Australia;19;8;18;29;25;130;32;100;66;220;0
1985;Australia;33;2;21;54;33;108;35;116;61;283;5
1986;Australia;43;1;23;44;45;110;35;156;58;254;4
1987;Australia;29;5;17;32;28;130;26;109;75;314;2
1988;Australia;36;6;22;61;39;105;37;117;56;341;3
1989;Australia;41;13;26;57;34;128;33;173;60;378;8
1990;Australia;30;11;44;99;76;193;49;168;80;366;6
1991;Australia;39;26;24;76;67;230;30;192;82;399;23
1992;Australia;49;42;53;95;76;232;48;217;72;367;25
1993;Australia;41;42;76;97;78;249;64;206;135;367;27
1994;Australia;72;68;143;127;141;336;69;296;119;398;43
1995;Australia;97;81;83;158;125;426;83;284;153;478;61
1996;Australia;116;103;115;139;165;418;107;332;116;600;75
1997;Australia;104;180;129;198;187;479;91;348;148;571;112
1998;Australia;117;201;147;165;189;482;109;349;128;672;108
1999;Australia;154;198;153;162;207;540;100;450;131;718;89
2000;Australia;109;182;147;158;217;429;124;431;150;678;90
2001;Australia;121;138;181;185;206;429;104;543;146;689;100
2002;Australia;122;250;155;149;266;449;122;464;161;653;100
2003;Australia;96;340;259;267;489;506;95;537;126;740;110
2004;Australia;134;501;371;243;583;449;98;596;143;804;124
2005;Australia;133;572;520;234;631;562;114;680;150;834;124
2006;Australia;127;497;366;291;565;610;130;737;162;910;122
2007;Australia;151;203;231;247;125;705;142;861;173;935;110
2008;Australia;170;217;232;249;169;718;155;861;185;1011;109
2009;Australia;206;272;270;306;176;846;169;1024;190;1114;161
2010;Australia;206;240;268;285;169;855;155;1154;234;1203;140
2011;Australia;234;341;315;384;243;955;190;1368;247;1149;152
2012;Australia;255;383;350;377;274;1166;212;1446;225;1179;171
2013;Australia;305;449;451;477;348;1248;227;1846;312;1452;219
2014;Australia;367;502;510;524;344;1451;285;1931;294;1507;272
2015;Australia;393;638;684;586;420;1631;330;2346;361;1564;332
2016;Australia;428;674;723;565;446;1684;362;2585;350;1716;309
2017;Australia;563;731;848;600;507;1958;405;2720;412;1684;369
2018;Australia;500;753;1063;671;510;2274;429;3263;480;1672;550
1980;Belgium;8;3;10;15;10;61;14;31;26;56;0
1981;Belgium;11;2;9;12;12;87;12;38;37;57;0
1982;Belgium;7;1;14;10;12;59;17;41;30;67;0
1983;Belgium;7;5;14;17;16;74;10;35;39;60;0
1984;Belgium;13;1;8;17;15;66;20;55;38;83;0
1985;Belgium;15;4;13;16;19;86;18;62;33;73;1
1986;Belgium;14;4;14;17;12;65;18;44;38;80;5
1987;Belgium;13;1;20;19;20;101;6;52;52;89;2
1988;Belgium;22;12;13;16;32;104;18;52;46;105;7
1989;Belgium;10;3;18;35;32;96;25;73;48;150;6
1990;Belgium;18;16;31;30;45;157;19;65;89;124;9
1991;Belgium;20;10;25;27;59;136;20;54;63;147;16
1992;Belgium;22;20;47;45;76;192;14;82;83;132;21
1993;Belgium;12;19;46;42;45;179;9;99;68;133;11
1994;Belgium;22;41;42;58;49;216;23;123;80;165;30
1995;Belgium;36;49;33;53;82;224;21;112;95;190;36
1996;Belgium;49;45;21;68;48;269;31;145;133;200;39
1997;Belgium;43;60;53;78;90;253;20;143;125;259;31
1998;Belgium;44;63;52;87;105;300;32;183;119;284;41
1999;Belgium;61;74;48;82;109;319;21;199;119;288;44
2000;Belgium;43;70;71;70;110;353;33;204;122;288;46
2001;Belgium;53;75;35;88;91;359;37;247;127;297;45
2002;Belgium;52;118;62;91;137;412;39;253;142;297;43
2003;Belgium;67;155;92;150;257;394;37;263;131;351;49
2004;Belgium;61;162;111;132;278;459;38;304;154;322;57
2005;Belgium;72;196;157;129;338;489;35;383;143;380;39
2006;Belgium;58;227;157;183;341;498;45;353;141;359;49
2007;Belgium;77;132;80;173;85;561;48;393;157;351;59
2008;Belgium;57;121;109;196;99;595;55;430;139;418;61
2009;Belgium;74;108;88;149;82;550;50;432;147;424;46
2010;Belgium;46;108;112;206;98;572;63;514;175;506;66
2011;Belgium;65;158;129;221;101;693;73;506;153;561;63
2012;Belgium;61;154;138;191;121;695;87;532;171;563;58
2013;Belgium;69;166;138;255;117;664;82;614;180;614;66
2014;Belgium;103;196;163;247;130;739;78;597;165;667;61
2015;Belgium;82;169;164;217;151;688;71;746;186;653;76
2016;Belgium;114;218;169;229;137;691;92;776;209;704;61
2017;Belgium;101;187;173;248;123;676;100;784;189;699;86
2018;Belgium;71;168;181;232;137;736;109;944;203;713;111
1980;Brazil;4;0;2;2;1;16;4;6;12;29;0
1981;Brazil;3;0;6;2;6;25;7;10;15;20;0
1982;Brazil;4;0;6;4;4;23;4;13;14;19;0
1983;Brazil;7;0;6;5;5;28;2;23;12;21;0
1984;Brazil;8;0;6;6;6;23;1;13;18;16;0
1985;Brazil;9;0;8;2;7;31;1;16;18;36;0
1986;Brazil;7;1;7;4;4;31;4;41;16;22;0
1987;Brazil;6;0;3;8;7;35;10;55;21;27;1
1988;Brazil;6;1;1;11;7;41;9;43;18;37;0
1989;Brazil;10;1;4;13;11;49;12;34;44;40;0
1990;Brazil;19;1;11;13;5;62;10;40;20;65;0
1991;Brazil;12;1;4;19;11;62;10;100;27;63;4
1992;Brazil;7;1;16;33;24;79;24;64;44;69;12
1993;Brazil;8;3;13;26;12;72;20;55;53;65;10
1994;Brazil;16;4;30;36;31;114;26;86;40;75;12
1995;Brazil;13;10;13;26;33;119;20;85;46;166;16
1996;Brazil;16;22;10;52;18;164;22;109;47;193;27
1997;Brazil;27;22;14;50;36;167;30;103;71;263;36
1998;Brazil;27;34;24;101;46;225;39;123;90;292;39
1999;Brazil;61;53;21;85;67;232;43;158;93;361;47
2000;Brazil;47;72;34;112;83;255;70;178;83;430;53
2001;Brazil;40;57;48;87;74;219;53;220;111;439;53
2002;Brazil;53;142;46;77;89;271;50;262;104;485;53
2003;Brazil;44;139;85;126;254;312;60;318;126;560;65
2004;Brazil;50;253;121;134;375;285;77;366;139;610;74
2005;Brazil;45;191;108;161;315;338;61;413;124;639;85
2006;Brazil;57;235;76;149;273;312;86;666;122;684;99
2007;Brazil;71;111;78;124;94;370;116;522;178;731;92
2008;Brazil;85;91;64;179;97;425;118;476;149;733;104
2009;Brazil;104;108;124;202;82;443;167;680;124;803;103
2010;Brazil;88;133;122;179;79;509;123;678;162;804;107
2011;Brazil;95;158;199;235;107;579;131;826;171;786;118
2012;Brazil;108;187;206;228;117;718;177;825;156;841;125
2013;Brazil;124;244;241;287;169;784;172;1000;190;895;134
2014;Brazil;125;257;239;261;152;818;170;1102;216;930;152
2015;Brazil;187;278;459;343;190;1098;220;1253;259;1020;186
2016;Brazil;227;340;570;402;226;1278;236;1662;274;983;248
2017;Brazil;279;352;453;479;249;1165;246;1821;276;1102;241
2018;Brazil;275;381;625;560;249;1459;315;2289;352;1015;316
1980;Canada;39;7;86;69;48;370;82;332;158;439;0
1981;Canada;60;15;64;63;63;422;80;336;238;438;0
1982;Canada;57;9;64;82;65;420;79;355;200;574;1
1983;Canada;34;19;84;83;85;454;102;384;195;590;1
1984;Canada;70;20;90;121;96;438;126;386;233;626;3
1985;Canada;46;25;93;105;103;524;132;442;237;720;4
1986;Canada;95;18;97;122;130;514;132;534;178;696;9
1987;Canada;92;36;101;122;108;546;110;477;190;811;6
1988;Canada;85;28;96;152;154;563;90;456;137;860;13
1989;Canada;89;31;130;177;198;632;113;616;133;864;14
1990;Canada;100;63;115;197;223;727;134;558;238;910;31
1991;Canada;91;57;102;180;223;800;108;551;177;966;57
1992;Canada;93;110;159;189;262;892;111;641;171;1112;109
1993;Canada;88;121;172;222;202;907;123;627;217;1080;108
1994;Canada;127;119;215;227;204;1040;135;713;258;1151;105
1995;Canada;115;166;146;218;238;1079;117;874;222;1115;129
1996;Canada;145;176;144;221;228;1025;132;830;231;1406;135
1997;Canada;147;197;165;226;241;936;124;887;207;1373;159
1998;Canada;154;179;219;230;267;930;155;902;192;1347;159
1999;Canada;146;205;174;253;280;991;146;855;228;1479;153
2000;Canada;144;278;225;238;359;885;132;886;184;1492;178
2001;Canada;145;253;250;247;331;837;116;909;169;1382;175
2002;Canada;145;361;253;261;420;1001;127;914;194;1440;175
2003;Canada;185;468;396;392;731;1126;114;1077;234;1520;187
2004;Canada;181;532;473;391;832;1381;148;1090;219;1533;216
2005;Canada;248;689;577;398;983;1577;161;1146;316;1639;218
2006;Canada;245;622;537;541;865;1734;156;1327;302;1741;231
2007;Canada;271;324;437;390;321;1878;180;1474;398;1795;214
2008;Canada;250;354;442;514;320;1999;180;1657;358;1852;243
2009;Canada;289;395;506;497;377;2121;188;1645;325;1862;242
2010;Canada;270;403;513;525;308;2092;233;1746;356;2028;271
2011;Canada;297;398;533;560;343;2144;236;2044;437;1992;262
2012;Canada;296;494;566;611;401;2247;233;2005;371;1967;271
2013;Canada;384;474;688;561;400;2377;264;2157;414;2256;286
2014;Canada;384;507;727;611;439;2405;249;2315;406;2283;294
2015;Canada;394;520;796;670;444;2586;358;2506;486;2437;282
2016;Canada;466;676;874;688;459;2791;368;2749;532;2446;377
2017;Canada;571;628;908;715;402;2922;412;2852;555;2490;431
2018;Canada;568;609;1092;714;446;3141;360;3183;612;2522;509
1980;China;1;0;0;0;0;29;2;2;14;2;0
1981;China;4;0;1;3;4;46;7;5;18;9;0
1982;China;10;1;1;9;8;62;9;8;17;6;0
1983;China;6;2;7;4;11;74;17;16;22;13;0
1984;China;12;3;3;11;8;65;23;21;24;9;0
1985;China;6;1;2;15;14;122;21;19;35;21;1
1986;China;16;3;9;10;28;97;29;27;36;23;0
1987;China;35;7;12;31;24;165;35;33;80;27;0
1988;China;58;10;10;45;50;209;35;53;57;29;2
1989;China;48;5;6;49;43;257;36;49;100;49;4
1990;China;39;5;16;54;73;252;44;57;103;64;9
1991;China;52;14;30;50;59;256;50;89;119;65;18
1992;China;34;24;90;114;95;289;72;89;116;76;53
1993;China;34;36;19;74;71;326;57;89;188;67;36
1994;China;46;27;26;112;50;333;79;96;153;64;46
1995;China;59;39;21;92;97;340;83;123;177;92;61
1996;China;68;66;20;113;57;430;175;181;172;90;114
1997;China;83;68;34;92;104;485;202;196;168;121;121
1998;China;130;113;69;114;136;663;243;257;238;205;144
1999;China;184;166;92;157;187;759;239;314;243;226;175
2000;China;207;182;153;249;319;1278;258;445;369;291;276
2001;China;245;249;256;243;373;1404;307;667;327;310;280
2002;China;247;365;303;280;329;1485;391;769;357;386;310
2003;China;340;606;524;417;674;1946;358;1024;406;453;394
2004;China;526;1568;1353;554;2330;2177;390;1220;433;556;593
2005;China;420;2674;1708;743;3335;2619;420;1459;590;680;849
2006;China;763;3412;1441;938;3051;3208;524;1930;774;840;1103
2007;China;792;823;686;802;454;3929;845;2330;986;965;640
