G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N
13340,29489;3561,421866;18142,03556;4029,98904;531,3934634;6355,247678;2651,351799;790,0962138;11597,19033;8509,582754
13427,07594;3580,817767;18313,96201;4060,480268;537,0485303;6443,588539;2678,227631;797,7701135;11692,31179;8577,621522
13513,85698;3600,213668;18485,88847;4090,971496;542,7035972;6531,929401;2705,103463;805,4440133;11787,43325;8645,660289
13600,63803;3619,609569;18657,81493;4121,462725;548,3586642;6620,270263;2731,979295;813,117913;11882,55471;8713,699057
13687,41907;3639,00547;18829,74138;4151,953953;554,0137311;6708,611125;2758,855127;820,7918128;11977,67617;8781,737824
13774,20011;3658,401371;19001,66784;4182,445181;559,668798;6796,951986;2785,730959;828,4657125;12072,79763;8849,776591
13860,98116;3677,797272;19173,59429;4212,936409;565,3238649;6885,292848;2812,606791;836,1396122;12167,91909;8917,815359
13947,7622;3697,193174;19345,52075;4243,427638;570,9789319;6973,63371;2839,482623;843,813512;12263,04055;8985,854126
14034,54324;3716,589075;19517,4472;4273,918866;576,6339988;7061,974572;2866,358455;851,4874117;12358,16201;9053,892894
14121,32429;3735,984976;19689,37366;4304,410094;582,2890657;7150,315434;2893,234287;859,1613115;12453,28347;9121,931661
14208,10533;3755,380877;19861,30011;4334,901323;587,9441327;7238,656295;2920,110119;866,8352112;12548,40493;9189,970429
14294,88638;3774,776778;20033,22657;4365,392551;593,5991996;7326,997157;2946,985951;874,5091109;12643,52639;9258,009196
14381,66742;3794,172679;20205,15302;4395,883779;599,2542665;7415,338019;2973,861783;882,1830107;12738,64785;9326,047964
14468,44846;3813,56858;20377,07948;4426,375008;604,9093335;7503,678881;3000,737615;889,8569104;12833,76931;9394,086731
1725,984467;375,4102516;3365,070517;602,2391209;109,9009137;1750,835793;536,0252225;148,8548172;1847,700604;1337,595612
1812,765511;394,8061527;3536,996973;632,7303492;115,5559806;1839,176654;562,9010545;156,528717;1942,822064;1405,63438
1899,546555;414,2020539;3708,923428;663,2215775;121,2110476;1927,517516;589,7768866;164,2026167;2037,943524;1473,673147
1986,327598;433,597955;3880,849884;693,7128058;126,8661145;2015,858378;616,6527187;171,8765165;2133,064984;1541,711915
