G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N
13341;3562;18143;4030;532;6356;2652;791;11598;8510
13428;3581;18314;4061;538;6444;2679;798;11693;8578
13514;3601;18486;4091;543;6532;2706;806;11788;8646
13601;3620;18658;4122;549;6621;2732;814;11883;8714
13688;3640;18830;4152;555;6709;2759;821;11978;8782
13775;3659;19002;4183;560;6797;2786;829;12073;8850
13861;3678;19174;4213;566;6886;2813;837;12168;8918
13948;3698;19346;4244;571;6974;2840;844;12264;8986
14035;3717;19518;4274;577;7062;2867;852;12359;9054
14122;3736;19690;4305;583;7151;2894;860;12454;9122
14209;3756;19862;4335;588;7239;2921;867;12549;9190
14295;3775;20034;4366;594;7327;2947;875;12644;9259
14382;3795;20206;4396;600;7416;2974;883;12739;9327
14469;3814;20378;4427;605;7504;3001;890;12834;9395
1726;376;3366;603;110;1751;537;149;1848;1338
1813;395;3537;633;116;1840;563;157;1943;1406
1900;415;3709;664;122;1928;590;165;2038;1474
1987;434;3881;694;127;2016;617;172;2134;1542
2074;453;4053;725;133;2105;644;180;2229;1610
2160;473;4225;755;139;2193;671;188;2324;1678
2247;492;4397;786;144;2281;698;195;2419;1746
2334;512;4569;816;150;2370;725;203;2514;1814
2421;531;4741;847;156;2458;752;211;2609;1882
2508;550;4913;877;161;2546;778;218;2704;1950
2594;570;5085;908;167;2635;805;226;2799;2018
2681;589;5257;938;173;2723;832;234;2895;2087
2768;609;5429;969;178;2811;859;241;2990;2155
2855;628;5601;999;184;2900;886;249;3085;2223
1428;317;2732;505;90;1420;424;122;1496;1077
1515;336;2904;535;95;1508;451;129;1591;1145
1601;355;3076;566;101;1596;478;137;1686;1213
1688;375;3248;596;106;1685;505;145;1781;1281
1775;394;3420;627;112;1773;531;152;1877;1349
1862;414;3592;657;118;1861;558;160;1972;1417
1949;433;3764;688;123;1950;585;168;2067;1485
2035;452;3936;718;129;2038;612;175;2162;1553
2122;472;4108;749;135;2127;639;183;2257;1621
2209;491;4280;779;140;2215;666;191;2352;1689
2296;511;4452;810;146;2303;693;198;2447;1757
2382;530;4623;840;152;2392;720;206;2542;1825
2469;549;4795;871;157;2480;746;214;2638;1893
2556;569;4967;901;163;2568;773;221;2733;1961
1666;361;3248;568;106;1668;500;145;1811;1278
1752;381;3420;598;112;1756;527;152;1906;1346
1839;400;3592;629;117;1845;554;160;2001;1414
1926;419;3764;659;123;1933;581;168;2097;1482
2013;439;3936;690;129;2021;608;175;2192;1551
2099;458;4108;720;134;2110;634;183;2287;1619
2186;478;4280;751;140;2198;661;191;2382;1687
2273;497;4452;781;146;2286;688;199;2477;1755
2360;516;4624;812;151;2375;715;206;2572;1823
2447;536;4796;842;157;2463;742;214;2667;1891
2533;555;4967;873;163;2551;769;222;2762;1959
2620;575;5139;903;168;2640;796;229;2858;2027
2707;594;5311;934;174;2728;823;237;2953;2095
2794;613;5483;964;180;2816;849;245;3048;2163
1623;351;3104;553;101;1584;484;142;1788;1229
1709;370;3276;584;107;1673;511;150;1883;1297
1796;390;3448;614;113;1761;538;157;1978;1365
1883;409;3620;645;118;1849;564;165;2073;1433
1970;429;3792;675;124;1938;591;173;2168;1501
2056;448;3964;706;130;2026;618;180;2264;1569
2143;467;4136;736;135;2114;645;188;2359;1637
2230;487;4308;767;141;2203;672;196;2454;1705
2317;506;4480;797;147;2291;699;203;2549;1773
2404;526;4652;828;152;2379;726;211;2644;1842
2490;545;4824;858;158;2468;753;219;2739;1910
2577;564;4996;889;164;2556;780;226;2834;1978
2664;584;5168;919;169;2644;806;234;2929;2046
2751;603;5340;950;175;2733;833;242;3025;2114
2041;410;3677;740;115;1724;589;171;2115;1546
2128;429;3849;771;120;1812;616;179;2210;1614
2215;448;4020;801;126;1900;643;186;2306;1682
2302;468;4192;832;132;1989;670;194;2401;1750
2389;487;4364;862;137;2077;697;202;2496;1818
2475;507;4536;893;143;2165;723;209;2591;1886
2562;526;4708;923;149;2254;750;217;2686;1954
2649;545;4880;954;154;2342;777;225;2781;2022
2736;565;5052;984;160;2430;804;232;2876;2090
2822;584;5224;1015;166;2519;831;240;2971;2158
2909;604;5396;1045;171;2607;858;248;3067;2226
2996;623;5568;1076;177;2695;885;255;3162;2294
3083;642;5740;1106;183;2784;912;263;3257;2362
3170;662;5912;1137;188;2872;938;271;3352;2430
3208;666;4132;853;118;1787;631;202;2430;1782
3295;685;4304;883;124;1875;658;210;2525;1850
3382;705;4476;914;130;1964;685;218;2620;1918
3469;724;4648;944;135;2052;712;225;2715;1986
3556;743;4820;975;141;2140;739;233;2810;2054
3642;763;4992;1005;147;2229;766;241;2905;2122
3729;782;5164;1036;152;2317;793;248;3000;2190
3816;802;5336;1066;158;2405;820;256;3095;2258
3903;821;5508;1097;164;2494;846;264;3190;2326
3989;840;5680;1127;169;2582;873;271;3286;2394
4076;860;5852;1158;175;2671;900;279;3381;2462
4163;879;6024;1188;181;2759;927;287;3476;2530
4250;899;6195;1219;186;2847;954;294;3571;2598
4337;918;6367;1249;192;2936;981;302;3666;2666
1718;378;3364;599;110;1718;527;151;1863;1341
1805;397;3536;629;116;1806;554;159;1958;1410
1892;417;3708;660;122;1894;581;167;2053;1478
1978;436;3880;690;127;1983;608;174;2148;1546
2065;455;4052;721;133;2071;635;182;2243;1614
2152;475;4224;751;139;2159;662;190;2338;1682
2239;494;4396;782;144;2248;689;197;2433;1750
2326;514;4568;812;150;2336;716;205;2528;1818
2412;533;4740;843;156;2424;742;213;2623;1886
2499;552;4912;873;161;2513;769;221;2719;1954
2586;572;5084;904;167;2601;796;228;2814;2022
2673;591;5256;934;173;2689;823;236;2909;2090
2759;610;5428;965;178;2778;850;244;3004;2158
2846;630;5599;995;184;2866;877;251;3099;2226
1779;405;3411;616;112;1748;530;155;1891;1369
1866;424;3583;647;118;1837;557;163;1987;1437
1953;444;3755;677;124;1925;584;170;2082;1505
2039;463;3927;708;129;2013;611;178;2177;1573
2126;483;4099;738;135;2102;638;186;2272;1642
2213;502;4271;769;141;2190;665;193;2367;1710
2300;521;4443;799;146;2278;692;201;2462;1778
2387;541;4615;830;152;2367;719;209;2557;1846
2473;560;4786;860;158;2455;745;216;2652;1914
2560;580;4958;891;163;2543;772;224;2748;1982
2647;599;5130;921;169;2632;799;232;2843;2050
2734;618;5302;952;175;2720;826;240;2938;2118
2820;638;5474;982;180;2808;853;247;3033;2186
2907;657;5646;1013;186;2897;880;255;3128;2254
13747;3368;33901;5032;496;14471;7022;2355;9827;39884
13834;3388;34073;5062;501;14560;7049;2362;9922;39952
13921;3407;34245;5093;507;14648;7075;2370;10017;40020
14008;3426;34416;5123;513;14736;7102;2378;10112;40088
14094;3446;34588;5154;518;14825;7129;2385;10208;40156
14181;3465;34760;5184;524;14913;7156;2393;10303;40224
14268;3484;34932;5215;530;15001;7183;2401;10398;40292
14355;3504;35104;5245;535;15090;7210;2408;10493;40360
14441;3523;35276;5276;541;15178;7237;2416;10588;40428
14528;3543;35448;5306;547;15266;7264;2424;10683;40496
14615;3562;35620;5337;552;15355;7290;2431;10778;40565
14702;3581;35792;5367;558;15443;7317;2439;10873;40633
14789;3601;35964;5398;564;15531;7344;2447;10968;40701
14875;3620;36136;5428;569;15620;7371;2454;11064;40769
1572;344;3049;549;100;1568;477;137;1687;1233
1659;363;3221;579;105;1657;504;145;1783;1301
1746;382;3393;610;111;1745;531;152;1878;1369
1833;402;3565;640;117;1833;558;160;1973;1437
1919;421;3737;671;122;1922;585;168;2068;1505
2006;441;3909;701;128;2010;612;176;2163;1573
2093;460;4081;732;134;2099;639;183;2258;1641
2180;479;4253;762;139;2187;666;191;2353;1709
2267;499;4425;793;145;2275;692;199;2448;1777
2353;518;4597;823;151;2364;719;206;2544;1845
2440;537;4769;854;156;2452;746;214;2639;1913
2527;557;4940;884;162;2540;773;222;2734;1981
2614;576;5112;915;168;2629;800;229;2829;2049
2701;596;5284;945;173;2717;827;237;2924;2117
2506;407;3283;591;114;1596;494;143;1732;1242
2593;426;3455;621;120;1685;521;150;1827;1310
2680;445;3627;652;125;1773;548;158;1922;1378
2767;465;3799;682;131;1861;575;166;2017;1446
2853;484;3971;713;137;1950;602;173;2112;1514
2940;504;4143;743;142;2038;628;181;2207;1582
3027;523;4315;774;148;2126;655;189;2302;1650
3114;542;4487;804;154;2215;682;196;2397;1718
3200;562;4658;835;159;2303;709;204;2492;1786
3287;581;4830;865;165;2391;736;212;2588;1854
3374;600;5002;896;170;2480;763;219;2683;1922
3461;620;5174;926;176;2568;790;227;2778;1990
3548;639;5346;957;182;2656;817;235;2873;2058
3634;659;5518;987;187;2745;844;242;2968;2126
2984;476;7914;1272;144;4857;1066;371;3860;4878
3071;495;8086;1303;150;4946;1093;379;3956;4946
3157;515;8258;1333;155;5034;1120;386;4051;5014
3244;534;8430;1363;161;5122;1147;394;4146;5082
3331;554;8602;1394;167;5211;1173;402;4241;5150
3418;573;8774;1424;172;5299;1200;409;4336;5218
3505;592;8946;1455;178;5387;1227;417;4431;5286
3591;612;9118;1485;184;5476;1254;425;4526;5354
3678;631;9290;1516;189;5564;1281;432;4621;5422
3765;651;9462;1546;195;5652;1308;440;4717;5490
3852;670;9633;1577;200;5741;1335;448;4812;5558
3938;689;9805;1607;206;5829;1362;455;4907;5626
