,G01N,G05B,G06F,G06K,G06N,G06Q,G06T,G10L,H04L,H04N
0,13340.0,3561.0,18142.0,4030.0,531.0,6355.0,2651.0,790.0,11597.0,8510.0
1,13427.0,3581.0,18314.0,4060.0,537.0,6444.0,2678.0,798.0,11692.0,8578.0
2,13514.0,3600.0,18486.0,4091.0,543.0,6532.0,2705.0,805.0,11787.0,8646.0
3,13601.0,3620.0,18658.0,4121.0,548.0,6620.0,2732.0,813.0,11883.0,8714.0
4,13687.0,3639.0,18830.0,4152.0,554.0,6709.0,2759.0,821.0,11978.0,8782.0
5,13774.0,3658.0,19002.0,4182.0,560.0,6797.0,2786.0,828.0,12073.0,8850.0
6,13861.0,3678.0,19174.0,4213.0,565.0,6885.0,2813.0,836.0,12168.0,8918.0
7,13948.0,3697.0,19346.0,4243.0,571.0,6974.0,2839.0,844.0,12263.0,8986.0
8,14035.0,3717.0,19517.0,4274.0,577.0,7062.0,2866.0,851.0,12358.0,9054.0
9,14121.0,3736.0,19689.0,4304.0,582.0,7150.0,2893.0,859.0,12453.0,9122.0
10,14208.0,3755.0,19861.0,4335.0,588.0,7239.0,2920.0,867.0,12548.0,9190.0
11,14295.0,3775.0,20033.0,4365.0,594.0,7327.0,2947.0,875.0,12644.0,9258.0
12,14382.0,3794.0,20205.0,4396.0,599.0,7415.0,2974.0,882.0,12739.0,9326.0
13,14468.0,3814.0,20377.0,4426.0,605.0,7504.0,3001.0,890.0,12834.0,9394.0
14,1726.0,375.0,3365.0,602.0,110.0,1751.0,536.0,149.0,1848.0,1338.0
15,1813.0,395.0,3537.0,633.0,116.0,1839.0,563.0,157.0,1943.0,1406.0
16,1900.0,414.0,3709.0,663.0,121.0,1928.0,590.0,164.0,2038.0,1474.0
17,1986.0,434.0,3881.0,694.0,127.0,2016.0,617.0,172.0,2133.0,1542.0
18,2073.0,453.0,4053.0,724.0,133.0,2104.0,644.0,180.0,2228.0,1610.0
19,2160.0,472.0,4225.0,755.0,138.0,2193.0,670.0,187.0,2323.0,1678.0
20,2247.0,492.0,4397.0,785.0,144.0,2281.0,697.0,195.0,2418.0,1746.0
21,2333.0,511.0,4569.0,816.0,149.0,2369.0,724.0,203.0,2514.0,1814.0
22,2420.0,531.0,4740.0,846.0,155.0,2458.0,751.0,210.0,2609.0,1882.0
23,2507.0,550.0,4912.0,877.0,161.0,2546.0,778.0,218.0,2704.0,1950.0
24,2594.0,569.0,5084.0,907.0,166.0,2634.0,805.0,226.0,2799.0,2018.0
25,2681.0,589.0,5256.0,938.0,172.0,2723.0,832.0,233.0,2894.0,2086.0
26,2767.0,608.0,5428.0,968.0,178.0,2811.0,859.0,241.0,2989.0,2154.0
27,2854.0,628.0,5600.0,999.0,183.0,2899.0,885.0,249.0,3084.0,2222.0
28,1427.0,316.0,2732.0,504.0,89.0,1419.0,423.0,121.0,1496.0,1076.0
29,1514.0,335.0,2904.0,535.0,95.0,1508.0,450.0,129.0,1591.0,1144.0
30,1601.0,355.0,3076.0,565.0,100.0,1596.0,477.0,137.0,1686.0,1213.0
31,1688.0,374.0,3248.0,596.0,106.0,1684.0,504.0,144.0,1781.0,1281.0
32,1774.0,394.0,3419.0,626.0,112.0,1773.0,531.0,152.0,1876.0,1349.0
33,1861.0,413.0,3591.0,657.0,117.0,1861.0,558.0,160.0,1971.0,1417.0
34,1948.0,432.0,3763.0,687.0,123.0,1949.0,585.0,167.0,2066.0,1485.0
35,2035.0,452.0,3935.0,718.0,129.0,2038.0,612.0,175.0,2161.0,1553.0
36,2122.0,471.0,4107.0,748.0,134.0,2126.0,638.0,183.0,2257.0,1621.0
37,2208.0,491.0,4279.0,779.0,140.0,2214.0,665.0,190.0,2352.0,1689.0
38,2295.0,510.0,4451.0,809.0,146.0,2303.0,692.0,198.0,2447.0,1757.0
39,2382.0,529.0,4623.0,840.0,151.0,2391.0,719.0,206.0,2542.0,1825.0
40,2469.0,549.0,4795.0,870.0,157.0,2479.0,746.0,213.0,2637.0,1893.0
41,2555.0,568.0,4967.0,901.0,163.0,2568.0,773.0,221.0,2732.0,1961.0
42,1665.0,361.0,3248.0,567.0,106.0,1667.0,500.0,144.0,1811.0,1278.0
43,1752.0,380.0,3420.0,598.0,111.0,1756.0,526.0,152.0,1906.0,1346.0
44,1839.0,399.0,3592.0,628.0,117.0,1844.0,553.0,160.0,2001.0,1414.0
45,1925.0,419.0,3763.0,659.0,123.0,1933.0,580.0,167.0,2096.0,1482.0
46,2012.0,438.0,3935.0,689.0,128.0,2021.0,607.0,175.0,2191.0,1550.0
47,2099.0,458.0,4107.0,720.0,134.0,2109.0,634.0,183.0,2286.0,1618.0
