,G01N,G05B,G06F,G06K,G06N,G06Q,G06T,G10L,H04L,H04N
0,13552.0,3635.0,18538.0,4088.0,538.0,6365.0,2703.0,798.0,11783.0,8711.0
1,13632.0,3653.0,18708.0,4116.0,543.0,6447.0,2730.0,805.0,11872.0,8778.0
2,13713.0,3672.0,18879.0,4145.0,548.0,6530.0,2756.0,812.0,11962.0,8846.0
3,13793.0,3690.0,19050.0,4173.0,554.0,6612.0,2782.0,819.0,12052.0,8914.0
4,13873.0,3708.0,19221.0,4201.0,559.0,6695.0,2809.0,826.0,12142.0,8982.0
5,13953.0,3726.0,19392.0,4229.0,564.0,6777.0,2835.0,833.0,12232.0,9049.0
6,14033.0,3744.0,19563.0,4258.0,570.0,6860.0,2862.0,841.0,12322.0,9117.0
7,14113.0,3763.0,19734.0,4286.0,575.0,6942.0,2888.0,848.0,12412.0,9185.0
8,14194.0,3781.0,19904.0,4314.0,580.0,7024.0,2915.0,855.0,12502.0,9252.0
9,14274.0,3799.0,20075.0,4342.0,586.0,7107.0,2941.0,862.0,12592.0,9320.0
10,14354.0,3817.0,20246.0,4371.0,591.0,7189.0,2968.0,869.0,12682.0,9388.0
11,14434.0,3836.0,20417.0,4399.0,596.0,7272.0,2994.0,876.0,12772.0,9456.0
12,14514.0,3854.0,20588.0,4427.0,602.0,7354.0,3021.0,883.0,12862.0,9523.0
13,14594.0,3872.0,20759.0,4455.0,607.0,7437.0,3047.0,890.0,12952.0,9591.0
14,1585.0,350.0,3313.0,554.0,103.0,1628.0,523.0,137.0,1733.0,1320.0
15,1665.0,368.0,3484.0,583.0,108.0,1711.0,549.0,144.0,1823.0,1388.0
16,1745.0,386.0,3655.0,611.0,114.0,1793.0,575.0,152.0,1913.0,1455.0
17,1825.0,405.0,3826.0,639.0,119.0,1875.0,602.0,159.0,2003.0,1523.0
18,1905.0,423.0,3997.0,667.0,125.0,1958.0,628.0,166.0,2093.0,1591.0
19,1985.0,441.0,4168.0,696.0,130.0,2040.0,655.0,173.0,2183.0,1658.0
20,2066.0,459.0,4339.0,724.0,135.0,2123.0,681.0,180.0,2273.0,1726.0
21,2146.0,478.0,4509.0,752.0,141.0,2205.0,708.0,187.0,2363.0,1794.0
22,2226.0,496.0,4680.0,780.0,146.0,2288.0,734.0,194.0,2453.0,1862.0
23,2306.0,514.0,4851.0,809.0,151.0,2370.0,761.0,201.0,2543.0,1929.0
24,2386.0,532.0,5022.0,837.0,157.0,2453.0,787.0,209.0,2633.0,1997.0
25,2466.0,551.0,5193.0,865.0,162.0,2535.0,814.0,216.0,2723.0,2065.0
26,2547.0,569.0,5364.0,893.0,167.0,2618.0,840.0,223.0,2813.0,2133.0
27,2627.0,587.0,5534.0,922.0,173.0,2700.0,867.0,230.0,2903.0,2200.0
28,1344.0,303.0,2760.0,477.0,86.0,1349.0,424.0,115.0,1439.0,1089.0
29,1425.0,321.0,2930.0,506.0,91.0,1431.0,450.0,122.0,1529.0,1157.0
30,1505.0,339.0,3101.0,534.0,97.0,1514.0,477.0,129.0,1619.0,1225.0
31,1585.0,357.0,3272.0,562.0,102.0,1596.0,503.0,136.0,1709.0,1293.0
32,1665.0,376.0,3443.0,590.0,107.0,1679.0,530.0,143.0,1799.0,1360.0
33,1745.0,394.0,3614.0,619.0,113.0,1761.0,556.0,150.0,1889.0,1428.0
34,1825.0,412.0,3785.0,647.0,118.0,1844.0,583.0,157.0,1979.0,1496.0
35,1906.0,430.0,3955.0,675.0,123.0,1926.0,609.0,164.0,2069.0,1563.0
36,1986.0,449.0,4126.0,703.0,129.0,2009.0,636.0,172.0,2159.0,1631.0
37,2066.0,467.0,4297.0,732.0,134.0,2091.0,662.0,179.0,2249.0,1699.0
38,2146.0,485.0,4468.0,760.0,139.0,2173.0,689.0,186.0,2339.0,1767.0
39,2226.0,503.0,4639.0,788.0,145.0,2256.0,715.0,193.0,2429.0,1834.0
40,2306.0,522.0,4810.0,816.0,150.0,2338.0,741.0,200.0,2519.0,1902.0
41,2387.0,540.0,4981.0,845.0,155.0,2421.0,768.0,207.0,2609.0,1970.0
42,1548.0,339.0,3234.0,527.0,100.0,1562.0,493.0,135.0,1726.0,1274.0
43,1628.0,358.0,3405.0,555.0,106.0,1645.0,519.0,142.0,1816.0,1342.0
44,1708.0,376.0,3576.0,583.0,111.0,1727.0,546.0,149.0,1906.0,1410.0
45,1788.0,394.0,3747.0,612.0,116.0,1809.0,572.0,156.0,1996.0,1477.0
46,1868.0,412.0,3918.0,640.0,122.0,1892.0,598.0,163.0,2086.0,1545.0
47,1948.0,431.0,4088.0,668.0,127.0,1974.0,625.0,171.0,2176.0,1613.0
48,2029.0,449.0,4259.0,696.0,132.0,2057.0,651.0,178.0,2266.0,1680.0
49,2109.0,467.0,4430.0,725.0,138.0,2139.0,678.0,185.0,2356.0,1748.0
50,2189.0,485.0,4601.0,753.0,143.0,2222.0,704.0,192.0,2446.0,1816.0
51,2269.0,504.0,4772.0,781.0,148.0,2304.0,731.0,199.0,2536.0,1884.0
52,2349.0,522.0,4943.0,809.0,154.0,2387.0,757.0,206.0,2626.0,1951.0
53,2429.0,540.0,5113.0,838.0,159.0,2469.0,784.0,213.0,2715.0,2019.0
54,2510.0,558.0,5284.0,866.0,165.0,2552.0,810.0,220.0,2805.0,2087.0
55,2590.0,577.0,5455.0,894.0,170.0,2634.0,837.0,228.0,2895.0,2155.0
56,1568.0,344.0,3213.0,534.0,100.0,1541.0,496.0,137.0,1760.0,1275.0
57,1648.0,362.0,3384.0,563.0,105.0,1624.0,522.0,144.0,1850.0,1343.0
58,1729.0,380.0,3555.0,591.0,110.0,1706.0,549.0,152.0,1940.0,1411.0
59,1809.0,399.0,3726.0,619.0,116.0,1789.0,575.0,159.0,2030.0,1479.0
60,1889.0,417.0,3896.0,647.0,121.0,1871.0,602.0,166.0,2120.0,1546.0
61,1969.0,435.0,4067.0,676.0,126.0,1954.0,628.0,173.0,2210.0,1614.0
62,2049.0,453.0,4238.0,704.0,132.0,2036.0,655.0,180.0,2300.0,1682.0
63,2129.0,472.0,4409.0,732.0,137.0,2119.0,681.0,187.0,2390.0,1750.0
64,2210.0,490.0,4580.0,760.0,143.0,2201.0,708.0,194.0,2479.0,1817.0
65,2290.0,508.0,4751.0,789.0,148.0,2284.0,734.0,201.0,2569.0,1885.0
66,2370.0,526.0,4921.0,817.0,153.0,2366.0,761.0,208.0,2659.0,1953.0
67,2450.0,544.0,5092.0,845.0,159.0,2448.0,787.0,216.0,2749.0,2021.0
68,2530.0,563.0,5263.0,873.0,164.0,2531.0,813.0,223.0,2839.0,2088.0
69,2610.0,581.0,5434.0,902.0,169.0,2613.0,840.0,230.0,2929.0,2156.0
70,1864.0,372.0,3528.0,675.0,104.0,1557.0,566.0,153.0,1942.0,1474.0
71,1944.0,391.0,3699.0,703.0,109.0,1639.0,592.0,160.0,2032.0,1542.0
72,2024.0,409.0,3870.0,731.0,115.0,1722.0,619.0,167.0,2122.0,1609.0
73,2104.0,427.0,4041.0,760.0,120.0,1804.0,645.0,174.0,2212.0,1677.0
74,2184.0,445.0,4211.0,788.0,125.0,1887.0,672.0,182.0,2302.0,1745.0
75,2264.0,464.0,4382.0,816.0,131.0,1969.0,698.0,189.0,2392.0,1813.0
76,2345.0,482.0,4553.0,844.0,136.0,2052.0,725.0,196.0,2482.0,1880.0
77,2425.0,500.0,4724.0,873.0,142.0,2134.0,751.0,203.0,2572.0,1948.0
78,2505.0,518.0,4895.0,901.0,147.0,2217.0,778.0,210.0,2662.0,2016.0
79,2585.0,537.0,5066.0,929.0,152.0,2299.0,804.0,217.0,2752.0,2083.0
80,2665.0,555.0,5237.0,957.0,158.0,2381.0,830.0,224.0,2842.0,2151.0
81,2745.0,573.0,5407.0,986.0,163.0,2464.0,857.0,231.0,2932.0,2219.0
82,2826.0,591.0,5578.0,1014.0,168.0,2546.0,883.0,239.0,3022.0,2287.0
